Account,User Name,Followers at Posting,Created,Type,Likes,Comments,Views,URL,Link,Photo,Title,Description,Image Text,Sponsor Id,Sponsor Name,Total Interactions,Overperforming Score
Angela Stanton,theangelastanton,266182,2020-11-04 08:06:36 PST,Photo,27296,1865,0,https://www.instagram.com/p/CHLMjt2h4Sw/,https://www.instagram.com/p/CHLMjt2h4Sw/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/123365058_1255890314780646_9131589862145060989_n.jpg?_nc_cat=108&ccb=2&_nc_sid=8ae9d6&_nc_ohc=S6shqiqDLbUAX--dk0m&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=b604080dd5a09462e4ad7e27cb1e0960&oe=6015C70D,,"Thank you to everyone that supported me. Most of the haters under my post will never know the feeling of having over 45,000 people support you in your own city! I promise to keep going! #SaveOurChildren 😘","Angela Stanton King @theangiestanton US House candidate, GA-5 I'm grateful for the love & support shown to me on this campaign was in an uphill battle from the start. But even w/ bias media, an opponent refusing to debate, & a water main break in the only room that holds the ballots, the world still knows my name! The fight continues",,,"29,161",2.61
seekthetruth,seekthetruth,483963,2020-08-31 16:20:36 PDT,IGTV,21276,522,376648,https://www.instagram.com/tv/CEkmVS4BJ7i/,https://www.instagram.com/tv/CEkmVS4BJ7i/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/118597566_1574455719572266_2726820439490685768_n.jpg?_nc_cat=107&ccb=2&_nc_sid=8ae9d6&_nc_ohc=50SHzeom2fMAX9hOa9H&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=60aedf640f6c4e1a7df639395a419dcd&oe=6024F6B3,39 Missing Children Found and Media is Silent,"The U.S. Marshals Service found 39 missing children in Georgia over two weeks in a mission known as ""Operation Not Forgotten,"" the agency announced in a press release Thursday. The operation led to the rescue of 26 children and the safe location of 13 others.

""These missing children were considered to be some of the most at-risk and challenging recovery cases in the area, based on indications of high-risk factors such as victimization of child sex trafficking, child exploitation, sexual abuse, physical abuse, and medical or mental health conditions,"" the press release reads. ""Other children were located at the request of law enforcement to ensure their wellbeing,"" the release continues. ""USMS investigators were able to confirm each child's location in person and assure their safety and welfare."" The U.S. Marshals Service Missing Child Unit worked with the agency's Southeast Regional Fugitive Task Force, state and local agencies in Georgia, and the National Center for Missing and Exploited Children, a non-profit organization. Nine criminal associates were also arrested and investigators cleared 26 arrest warrants. Investigators also filed additional charges for alleged crimes related to sex trafficking, parental kidnapping, registered sex offender violations, drugs and weapons possession, and custodial interference, according to the U.S. Marshals Service.

""When we track down fugitives, it's a good feeling to know that we're putting the bad guy behind bars. But that sense of accomplishment is nothing compared to finding a missing child,"" Darby Kirby, chief of the Missing Child Unit, said in a statement. 

""We are working to protect them and get them the help they need,"" he said. The USMS said that last year it helped recover 295 missing children and has contributed to the recovery of a missing child in 75 percent of cases. Sixty-six percent of recovered missing children were recovered within a week of the USMS helping with the case, according to the release. ""The message to missing children and their families is that we will never stop looking for you,"" director of the Marshals Service, Donald Washington, said in a statement. Repost @badassvegan #saveourchildren",How is finding 39 missing children in a double wide trailer in Georgia NOT the biggest news story in America?,,,"21,798",2.66
𝒌𝒂𝒍𝒆𝒚 🌻,jesus.loves.coffee,N/A,2020-08-12 03:04:12 PDT,Album,14885,61,0,https://www.instagram.com/p/CDyQT07FKmr/,https://www.instagram.com/p/CDyQT07FKmr/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/117383651_102049201597377_8086136760318224574_n.jpg?_nc_cat=103&ccb=2&_nc_sid=8ae9d6&_nc_ohc=cLPCTVCAtikAX_nVRFR&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=daf50a3592e55a82bdf20396704be5a4&oe=602515C3,,"This is a topic that I have recently came across over the past week, and I’ve actually made a post about this issue last year. It absolutely breaks my heart that this is happening right now and the media is censoring it. The media is taking it down. The media is SILENT when it comes to human trafficking. This is the devil working his sick ways. Guys, human trafficking is real. Sex trafficking is real. This is a huge issue that is happening in my own town right now. A few weeks ago they busted a human trafficking chain at a local hotel about 20 minutes from my house. It’s scary to know that this is happening in my own hometown where I grew up as a small child. There are children who are taken away from their families every day who are sold as sex slaves and are shipped off to other countries across the world. Imagine if that was your child. Imagine if that was your brother or sister. Imagine if that was your niece, nephew, cousin, etc. They could become a victim of human trafficking out of plain sight. Hundreds of children disappear every day in the US due to human traffickers/kidnappers and nothing is said about. We need to speak up for the voices who can’t speak for themselves. We need to break the silence. We need to PRAY for these innocent babies and victims. We need to pray for God’s children. Let’s be the generation that puts an end to child trafficking !! ❌

Here are some quick facts from @ashleyjoyhouston :

• assessing the full scope of human trafficking is difficult because so many cases often go undetected.

• estimates suggest that, intentionally only about .04% survivors of human trafficking cases are identified.

• in 2018, over half (51.6%) of the criminal human trafficking cases active in the US were sex trafficking cases involving only children.

• the average age a teen enters the sex trade in the US is 12-14 years old.

• research shows that one in four girls and one in six boys will be sexually abused before they turn 18 years old.

• it is estimated that 325,000 children are at risk of becoming victims of commercial child sexual exploitation each year.

#saveourchildren #savethekids #endhumantrafficking #endsextrafficking ❌",,,,"14,946",2.45
Pietra B,pietrabertolazzi,103902,2020-08-10 18:33:50 PDT,Photo,11241,668,0,https://www.instagram.com/p/CDuxG6NFQlb/,https://www.instagram.com/p/CDuxG6NFQlb/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/117175580_586962282188420_7166990598744071105_n.jpg?_nc_cat=102&ccb=2&_nc_sid=8ae9d6&_nc_ohc=FQikOSfCK8AAX_wnM2q&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=64f972c1d83971228927379525d9fe7b&oe=60266D0D,,"Esse foi um dos passos mais tristes que foi tomado nos últimos anos e é só o começo do que está por vir...
A França é um país que há tempos se destaca no cumprimento da agenda globalista, que defende o aborto, a destruição da família e da moral.
Hoje, para a tristeza dos que lutam contra o progressismo, 60 parlamentares franceses votaram a favor do “aborto” até os 9 meses de gestação, contra 37 que votaram contra. 
Enquanto assistimos essa intenção de genocídio de bebês em massa acontecendo, temos que escutar dessas mesmas pessoas na quarentena o “fique em casa e salve vidas!” e pra piorar, ainda tem aqueles que nos chamam de “conspiracionistas” e “reacionários”. 
Enquanto caminham para a legalização do assassinato infantil legalizado, bandeiras levantadas por Hillary Clinton, George Soros e organizações como a Planned Parenthood, que é o caso da questão do “aborto tardio”, são levantadas. E pasmem: o “aborto tardio” NÃO É o aborto até os 9 meses de gestação, e sim algo muito pior. As pessoas estão querendo denominar o aborto até os 9 meses como apenas aborto mesmo, e o “aborto tardio” seria algo inimaginável pra mim até pouco tempo atrás. Expliquei nos meus stories agora a diferença entre os dois, mas é informação só pra quem tem muito estômago! 
 Isso tudo é reflexo do que os globalistas estão fazendo com a humanidade, obra das mesmas pessoas que levantam movimentos como o BLM, como o feminismo e como tantos outros. 
Mas não, para os leigos, é “tudo conspiração”.
#saveourchildren #abortionismurder 

Ps.: para quem está dizendo que é “fake news”, não é, mas essa lei ainda precisa ser aprovada pelo senado. Infelizmente tudo indica que será.
De qualquer forma, pra quem está chocado, saiba que o aborto até os 9 meses já é permitido em alguns estados dos EUA.","@br_nathaliapa Hoje, 10/08/2020 a bandeira francesa carimba com o sangue de inocentes a aprovação do aborto até os nove meses meses de gestação.",,,"11,909",6.23
bingos,h.umanlty,77067,2020-09-21 08:25:23 PDT,Album,8554,100,51216,https://www.instagram.com/p/CFZ03QZHnXy/,https://www.instagram.com/p/CFZ03QZHnXy/,https://scontent-dfw5-1.cdninstagram.com/v/t51.29350-15/119982593_3401538169913800_38021725477436994_n.jpg?_nc_cat=110&ccb=2&_nc_sid=8ae9d6&_nc_ohc=MKirEm20H8wAX_7NYNg&_nc_ht=scontent-dfw5-1.cdninstagram.com&oh=0c276ec6b0d18c03effd7edd50c51a22&oe=602CFB67,,"TW / ABUSE⚠️⚠️
-
4 year old Sloane reported to LAPD and a number of other mandated reporters that she was being abused by her father. Sloane's cries for help have continuously been ignored. Sloane was forced to go with father or else her mother, Simone would go to jail for contempt.
this is heartbreaking 

THE PETITION; 

https://www.change.org/p/the-honorable-judge-rosen-help-sloane-thompson-4-stay-safe-and-have-her-abuse-investigated 

WATCH MY STORY FOR THE LINK OR COPY IT
-
#saveourchildren #savethechildren #savesloane #sloane #saveher #share #childrenlivesmatter #abuse #petitions #sloanethompson",,,,"8,654",2.6
Mike The Cop,mike_thecop,296012,2020-08-10 14:49:45 PDT,Photo,7487,169,0,https://www.instagram.com/p/CDuXduXJ0HR/,https://www.instagram.com/p/CDuXduXJ0HR/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/117325087_631725971094961_2651039480423660764_n.jpg?_nc_cat=101&ccb=2&_nc_sid=8ae9d6&_nc_ohc=aoA_eSixZ5MAX8YgxCl&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=80d3e3021c7b3424d45357cd634575a8&oe=60257AB6,,#saveourchildren and no this isn’t just a post for attention. I’m actively researching an organization to throw my support behind and step into this in a way that blends my experience in law enforcement and my faith.,Imagine a world where the media covers child trafficking as much as they cover COVID-19. #SaveOurChildren,,,"7,656",1.11
Avery | Reality TV,averydopecook,104560,2020-08-12 15:50:50 PDT,Photo,7183,439,0,https://www.instagram.com/p/CDzoC3WH4Fe/,https://www.instagram.com/p/CDzoC3WH4Fe/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/117636674_318496262534718_5210677179269562691_n.jpg?_nc_cat=108&ccb=2&_nc_sid=8ae9d6&_nc_ohc=TbmaBMFT0D4AX_Yl3JM&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=397f3495ce3d73ea82bd3c6fff452f76&oe=602426E2,,"As many of you are probably getting little hints from my stories, I am starting to become very involved in organizations that deal with human trafficking a child sex slaves. 
.
Unfortunately, if it’s not smeared all over the news, people don’t perceive it as a real problem. This is a very real problem. This is the fastest growing criminal enterprise in the world, raking in $150 billion a year. 
.
The demand for our children is getting greater by the year, and younger in age as these predators are becoming more and more desensitized. It’s my mission to begin creating my tribe of people whether you’re an influencer, a mom or dad, or anyone, people who are willing to devote time to spreading awareness with me, and start creating their own tribes. My tribe is called S.P.E.A.K. (Stopping predatory enslavement and kidnapping) 
.
The more tribes we create, the more children we save, the bigger this awareness will grow and stay in peoples faces and not just pop up at various times throughout the year. 
.
The media is not doing its job, and neither are influential people that have the ability to reach the masses, so we need to start getting this very real information out in-front of parents in order for them to be aware of how to protect their kids. 
.
I will be working directly with IMASS (under construction) which will be working directly with operation underground railroad. 
.
I am looking for at least 20 people to join my tribe, if you are interested in this cause, please email me Avery.warner@icarenurses.com. 
.
I need you in this fight! 
.
#saveourchildren #spreadtheword #humantrafficking #humantraffickingawareness",,,,"7,622",1.23
Steviana,moonstonedalchemist,N/A,2020-08-12 05:49:10 PDT,Photo,7336,246,0,https://www.instagram.com/p/CDyjMFUB8X-/,https://www.instagram.com/p/CDyjMFUB8X-/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/117261064_3021845791271592_1645996707606831042_n.jpg?_nc_cat=110&ccb=2&_nc_sid=8ae9d6&_nc_ohc=wS0SaW5SPUQAX8HB9L7&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=ba06751fc52309ddbd4738d8eabf264e&oe=60239109,,"Ive turned off comments. I’m exhausted from everyone bickering over hashtags and crop tops. You are missing the point. 

Yo! -You speak up about EVERYTHING ELSE... when are YOU gonna speak up about THIS. 👆🏼

I refuse to apologize for constantly reminding you that there are over 800,000 children missing in just the U.S alone.

Moms are talking about save OUR children,  but their 12, 13, 14 year old daughters are on tiktok in crop tops, throwing it back to songs about “fit it all in her mouth”. Saving OUR children begins with YOU and your family before it begins with Chester the Molester double tapping these videos.

Have those uncomfortable conversations with your child/children- I did! Neither one of my children have social media accounts. I share my knowledge with them, guide them and lead by example! 

Online predators are on a rampage due to this PLANDEMIC- they know children are “bored” and are online frequently! Your own child may be getting groomed and not even know it. Online pedos hunting your CHILDREN is up by 300% - let that sink in! 

We need to work together, stick together, speak up together and forever change the world we ALL live in! 

OUR • CHILDREN • ARE • NOT • FOR • SALE

•
•
•
•
JUSTICE FOR THESE CHILDREN ✊🏽

👉🏽CHILDREN ARE GETTING TAKEN, SOLD, RAPED, TORTURED AND MURDERED!!! 
Photo credit: @kaylee_dey 
Via
@suckerfreehq

#sextraffickingawareness  #sexualabuse #stoptrafficking #moderndayslavery #childabuse  #frazzledrip #organharvesting #rescue #slavery #organtrafficking #agefluid #pedowood #rapesurvivor #adrenochrome #moloch #illuminate #cabal #savethechildren #saveourchildren #fightforourchildren #pizzagate🍕 #pizzagate #wakethefuckup #pedogate #pandemic2020 #protectourchildren #raiseyourvoice #humantrafficking #childtrafficking #fuckyourconspiracytheory",,,,"7,582",11.23
VANESSA GOMEZ,besunshine365,N/A,2020-08-31 21:10:21 PDT,Photo,7089,112,0,https://www.instagram.com/p/CElHtp2HWVO/,https://www.instagram.com/p/CElHtp2HWVO/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/118678278_428665441427040_4743722483812558395_n.jpg?_nc_cat=103&ccb=2&_nc_sid=8ae9d6&_nc_ohc=BXzOolVuYvsAX9xMRpN&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=4cd2108e8bd740f4d9d69d707357694e&oe=60248ED2,,"Stand with Sophie. 
We believe you. 
We hear you. 
We’re coming for you. 

Listen to my stories for updated info.
Watch my last video for the most recent news.

#SaveOurChildren #StandWithSophie #SomeoneHelp",,,,"7,201",72.74
🔥MEXICAN | HUMOR | VIDEOS🇲🇽,nomames.bro,146536,2020-08-28 09:53:38 PDT,Album,7030,105,34812,https://www.instagram.com/p/CEcL4q1BWTo/,https://www.instagram.com/p/CEcL4q1BWTo/,https://scontent-dfw5-1.cdninstagram.com/v/t51.29350-15/118651757_405064360491756_1671897251615788055_n.jpg?_nc_cat=105&ccb=2&_nc_sid=8ae9d6&_nc_ohc=0MNch1vhZocAX8k2rXK&_nc_ht=scontent-dfw5-1.cdninstagram.com&oh=6489fa16701a791a9f1577c0fb57b1d7&oe=602CC6C2,,"U.S. Marshals rescue 39 missing children in Georgia sex trafficking raid.

Authorities arrested nine suspects.

BIG SHOUTOUT TO THE U.S. MARSHALS! 💯
.
ATLANTA (KMPH) —Dozens of missing children have been found in Georgia following a two week rescue operation by the United States Marshals Service (USMS).

U.S. Marshals describe these missing children cases as some of the most "" at-risk and challenging recovery cases"" in the area.

Authorities say this is because of high-risk factors such as victimization of child sex trafficking, child exploitation, sexual abuse, physical abuse, and medical or mental health conditions.

Local law enforcement agencies in Georgia also asked the Marshals Service for help checking on the welfare of kids they haven't been able to get into contact with.

During ""Operation Not Forgotten,"" 26 children were rescued and authorities were able to confirm the safety of 13 other kids that had been reported missing.

“The U.S. Marshals Service is fully committed to assisting federal, state, and local agencies with locating and recovering endangered missing children, in addition to their primary fugitive apprehension mission,” said Director of the Marshals Service Donald Washington. “The message to missing children and their families is that we will never stop looking for you.”

U.S. Marshals were able to track down 39 missing children during a two week operation in Georgia. (Photo: U.S. Marshals Service)

Nine people were arrested in connection to the operation.

Investigators say those nine people had a combination of 26 warrants out for them, including 19 arrest warrants.

They will be facing new charges for crimes related to sex trafficking, parental kidnapping, registered sex offender violations, drugs and weapons possession, and custodial interference.

The Justice for Victims of Trafficking Act of 2015 made it easier for the U.S. Marshals’ authority to help federal, state, and local law enforcement with the recovery of missing, endangered or abducted children, regardless of whether a fugitive or sex offender was involved.

The Marshals established a Missing Child Unit to oversee and manage the implementation of it

#saveourchildren",,,,"7,135",1.33
Angela Stanton,theangelastanton,257276,2020-09-14 18:15:19 PDT,Photo,6561,488,0,https://www.instagram.com/p/CFI2z93gjHB/,https://www.instagram.com/p/CFI2z93gjHB/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/119477154_340971306959164_2962458920959884576_n.jpg?_nc_cat=104&ccb=2&_nc_sid=8ae9d6&_nc_ohc=LOEBhiYJ13IAX-mn4P5&_nc_oc=AQmw-wVZs1-hgyTHVsf-nFV1klNKy_bFpu5WZrp4bATOdCgbWnTl1LmNSfqKfS7N2RA&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=6e5c8dcb69666bb52830b79c6b774060&oe=602561B7,,"Brent Scher - SEPTEMBER 14, 2020 6:22 PM
A man featured in a campaign video with Democratic presidential candidate Joe Biden is under federal  investigation for soliciting sex with minors, according to USA Today.

Federal agents raided the Illinois home of Jerry Harris, who gained notoriety due to his role in the Netflix documentary Cheer, Monday afternoon as part of a probe into messages sent to minors asking for explicit photos and to meet for sex. The solicitations were flagged for authorities by the 21-year-old's employer.

Just three months ago the Biden campaign used Harris, who has over a million followers on Instagram, as part of Biden's push to sway young voters and ""win back the internet,"" Time magazine reported. The Instagram live video of Harris and Biden was viewed nearly 300,000 times and remains on social media. 👀 ☕️ #politics #TheAgenda #saveourchildren",FBI Raids Home of Netflix Star and Biden Surrogate Over Underage Sex Allegation Influencer Jerry Harris was part of Biden campaign's plan to 'win back Bider the internet' f,,,"7,049",3.28
John Joseph,johnjosephcromag,90926,2020-08-29 04:47:36 PDT,Photo,6184,300,0,https://www.instagram.com/p/CEeNqGShHPR/,https://www.instagram.com/p/CEeNqGShHPR/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/118402348_628796901106309_9007996351404296963_n.jpg?_nc_cat=101&ccb=2&_nc_sid=8ae9d6&_nc_ohc=hQW-jAOVUcQAX9tVkrt&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=8f958dc420b3f01ea111d224c9c817aa&oe=60246B91,,"This just happened August 27th - the meme is a little off - not all the kids were together and the investigation was two weeks - The youngest child was just 3 years old. I wish a violent horrible death 💀 to the scumbags who snatch kids for sex trafficking. Only local news outlets around Georgia covered it. CNN, MSNBC, Fox and the rest were too busy spreading Covid fear or covering basketball and baseball players refusing to play ball. And hey I get it - that’s important but don’t  these lives matter too? Where’s the players wearing “Save our Children” hashtag shirts? Why isn’t that painted on basketball courts? Where’s the outrage Hollywood? What no riots - no marches on DC and every major city. Thousands of these kids will get murdered. What if it was your child? Why isn’t this on every major media outlet. I will tell you why. Because it serves no political agenda. Not to mention the powerful people In politics, business and entertainment who are involved. Remember this is only one incident - there are 800,000 more missing children just like it. #saveourchildren #ourrescue",How is finding 39 missing children in a double wide trailer in Georgia NOT the biggest news story in America?,,,"6,484",2.78
Master Student,themindofbizzel,37875,2020-09-01 23:47:59 PDT,Photo,6308,158,0,https://www.instagram.com/p/CEn-jICn8RU/,https://www.instagram.com/p/CEn-jICn8RU/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/118686802_230253538407466_8606951176276818148_n.jpg?_nc_cat=108&ccb=2&_nc_sid=8ae9d6&_nc_ohc=yP3XsUfohHoAX9eeDvK&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=d28a452f6f06c61d3680eb038ad4d95a&oe=60256DA7,,"#Repost 
・・・
Working with state and local authorities, U.S. Marshals rescued 25 missing and endangered children from Ohio in what remains an ongoing effort called Operation Safety Net. #saveourchildren #operationsafetynet According to the officers involved, Operation Safety Net will continue for a few more weeks in an effort to locate the roughly 200 missing children from Northeast Ohio alone.

The recent success comes after Operation Not Forgotten rescued 26 missing children and located an additional 13 in Georgia and Florida. Of those 39 victims, authorities report that 15 of them were being trafficked.

A third effort, called Operation Moving Target, led to the arrest of 27 Ohio men in Cuyahoga County for engaging in sexually explicit conversations with undercover agents posing as kids.

The U.S. Marshals have provided a tip line for anyone who might have information about any missing children: 1-866-492-6833

#tribe #healer #naturalremedy #herbs #minerals #nature #wakeup #herbalmedicine #organic #alkalinevegan #vegan #sacredgeometry #african #electricfoods #alkalineliving #plantbased #meditation #alkalineveganrecipes #veganfood #alkalinefood #alkalinediet  #melanin #consciousness #buddhism",U.S. Marshals rescue another 25 missing and sex-trafficked children POLZO Realistic awareness Mainstream Media Silent,,,"6,466",6.04
Right Thinking Chick,right_thinking_chick,53001,2020-09-10 09:05:30 PDT,Photo,5678,282,0,https://www.instagram.com/p/CE9kteigPq2/,https://www.instagram.com/p/CE9kteigPq2/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/118975880_324667745634030_8980622712691932016_n.jpg?_nc_cat=110&ccb=2&_nc_sid=8ae9d6&_nc_ohc=KMksoYHR77UAX8Eoxni&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=e590e6f8b50eb33cc8c6cd450ac887e4&oe=6024678E,,"#CancelNetflix
And a reminder that media outlets like the @newyorkermag has made opposing this kind of trash a partisan thing now. So the left and Democrats need to explain why they support this garbage. 
.
.
.
#Netflix #BoycottNetflix #CutiesMovie #Cuties #MattWalsh #Walsh #Twitter #Boycott #FilmCritics #ProtectOurChildren #SaveOurChildren #Democrats #LiberalElite #WalkAway #Liberal #Conservative #MAGA #KeepAmericaGreat #Trump2020",,,,"5,960",1.24
alkalineessentials,alkalineessentials,172949,2020-09-05 13:48:48 PDT,Photo,5397,196,0,https://www.instagram.com/p/CExNKEvHURV/,https://www.instagram.com/p/CExNKEvHURV/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/118953634_1232547173766310_3816328573095362336_n.jpg?_nc_cat=109&ccb=2&_nc_sid=8ae9d6&_nc_ohc=2uDLMuNW0sQAX-5wPDH&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=5308832c589bcd309a2e8bcafa7684e7&oe=6026EC5E,,"Most “celebrities” and ”influencers” know exactly what’s going on, yet they’ve stayed silent. They must have something to lose whether it be their careers or possibly more... Even if they are not involved, they must know what’s going on around them. But then I think... if you know, and you are silent, doesn’t that kinda make you involved? So when you ask me to not speak on things like this, I refuse to stay silent. I’ve been told by many, even people I know to “stick to alkaline foods and herbs”, but alkalinity is more than just foods and herbs. Silence on such a serious matter is standing with pedophiles and human traffickers. #saveourchildren #staytrue
•
I’ve been asked how this has anything to do with alkalinity. I’ll break it down for you. Alkalinity is not just a piece of fruit. Alkalinity is a state of being; it is a lifestyle that comes with eating, listening, reading, watching, surrounding yourself with, high frequencies and vibrations, daily. A healthy body cannot exist without a healthy mind, nor a healthy mind without a healthy body. It’s all connected. How can you say you’re alkaline and close your eyes to what’s happening around you? Is it only when your child goes missing that you’ll care? G-d forbid. If you are a human being, every child is your child. When I see a child hurt, I don’t think ah that’s not my kid, whatever. I think I am responsible for that child because I am an adult and a conscious being who was also once a child and who still has my inner child inside... Disconnect to reconnect. #itsallconnected #alkalinemindbodysoul",39 CHILDREN FOUND IN GEORGIA. 25 CHILDREN FOUND IN OHIO. 123 CHILDREN FOUND IN MICHIGAN. WHY IS THIS NOT THE BIGGEST STORY IN THE NEWS OR EVEN A HEADLINE STORY? THE MAINSTREAM MEDIA IS COMPLICIT IN THE CORRUPTION RUNNING RAMPANT. The New York Times OCBS NEWS abc FOX NEWS channol NBC FOX The Washington Post msnbc CNN,,,"5,593",5.24
Time2awake,time2awake,59894,2020-08-30 08:30:03 PDT,Photo,5090,210,0,https://www.instagram.com/p/CEhL6QvnNFP/,https://www.instagram.com/p/CEhL6QvnNFP/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/118646335_335232884333643_1814800864625584891_n.jpg?_nc_cat=104&ccb=2&_nc_sid=8ae9d6&_nc_ohc=-UbC-0X8b98AX8xPciy&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=b26796cfc4db31ff799b6e1e48542888&oe=602550E0,,"Just wondering... 

I love you. 

😎Time2awake 
#Time2awake 

#saveourchildren",How is finding 39 missing children in a double wide trailer in Georgia NOT the biggest news story in America?,,,"5,300",2.46
𝒌𝒂𝒍𝒆𝒚 🌻,jesus.loves.coffee,N/A,2020-08-31 20:31:25 PDT,Photo,5102,10,0,https://www.instagram.com/p/CElDQlBlNjg/,https://www.instagram.com/p/CElDQlBlNjg/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/118556697_1168210196883640_4223210174106403117_n.jpg?_nc_cat=105&ccb=2&_nc_sid=8ae9d6&_nc_ohc=kx3_SVmC1_UAX8jTEqk&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=0511723088cdae90a405f37e654ad4ad&oe=602525DF,,"Just added a new sticker to my shop! It’s the ""Save Our Children"" sticker and every day these victims of human trafficking are in my thoughts and prayers, as more and more trafficking systems are getting busted and victims are being saved! Young victims were rescued from a trafficking system at a hotel in my town about a month ago, and recently over 30 young victims were rescued from a trafficking system at a house located in Georgia. God hears our prayers and He is looking out for His children. Let’s stop the silence on the media. Pray for the victims, as well as the families of trafficking victims. Let’s be the generation that ends human and sex trafficking! 

Click the link in my bio and click the ""sticker shop"" button to visit my sticker shop on redbubble, and go purchase a sticker! Also please let me know an organization to donate the money sold off of each ""Save Our Children"" sticker within the next few weeks!

#SaveOurChildren #endhumantrafficking ❌",SAVE OUR CHILDREN @jesus.loves.coffee,,,"5,112",-1.29
Push Liberty,pushliberty,N/A,2020-08-05 08:17:08 PDT,IGTV,4562,453,109662,https://www.instagram.com/tv/CDgydfDgFDD/,https://www.instagram.com/tv/CDgydfDgFDD/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/116877136_1207025309675212_7892544858478802373_n.jpg?_nc_cat=108&ccb=2&_nc_sid=8ae9d6&_nc_ohc=Cys7-kTq3fAAX-b9LMM&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=40c67dc0aee1b14d9d27830fed8eef57&oe=602369B0,NJ JUDGE whose son was killed REVEALS details,"Do you think this had anything to do with the Epstein/Deutsche Bank case she got?
-
#America #Epstein #EpsteinDidntKillHimself #AmericaFirst #SaveTheChildren #SaveOurChildren #Americans #FederalJudge #DeutcheBank #NewJersey #Jersey #FedEx #News #Democrat #Republican #Libertarian #Independent #Trump #Biden #Kanye","NJ Federal Judge, Assigned Το Epstein Deutsche Bank Case, Breaks Silence After Son Is Killed & Husband Shot 3",,,"5,015",13.78
